id_componente,nivel,tipo_componente,codigo,nome,departamento,codigo_antigo,ch_total,cr_total,ch_aula,ch_laboratorio,ch_estagio,ch_dedicada_docente,ch_ead,equivalencia,pre_requisito,co_requisito,ementa,bibliografia,curso,ativo,num_unidades,tem_orientador,aceita_subturma,permite_horario_flexivel,permite_horario_docente_flexivel,conteudo_variavel,eminentemente_pratica
"35068","M","DISCIPLINA","TE10251","TÓPICOS ESPECIAIS EM PROJETOS DE EDUCAÇÃO AMBIENTAL","CODAP",,"45","3","45","0","0","45","0",,,,"Tópicos Especiais em projetos de Educação Ambiental",,"ENSINO MÉDIO","t",,"f","f","t","t","f","f"
"35069","M","DISCIPLINA","TE11251","A LINGUAGEM COMO RESISTÊNCIA ANCESTRAL NO BRASIL E AMÉRICA LATINA: MULHERES QUILOMBOLAS, AFRODESCENDENTES E INDÍGENAS","CODAP",,"45","3","45","0","0","45","0",,,,"A linguagem como resistência ancestral no Brasil e América Latina: mulheres quilombolas, afrodescendentes e indígenas",,"ENSINO MÉDIO","t",,"f","f","t","t","f","f"
"35070","M","DISCIPLINA","TE12251","SERGIPANIDADE","CODAP",,"45","3","45","0","0","45","0",,,,"Sergipanidade",,"ENSINO MÉDIO","t",,"f","f","t","t","f","f"
"35881","M","DISCIPLINA","TE13251","ELETRICIDADE PARA O DIA A DIA","CODAP",,"45","3","25","20","0","45","0",,,,"Estudo dos princípios básicos da eletricidade aplicados às situações cotidianas. Conceitos fundamentais de corrente elétrica, tensão, resistência e potência. Identificação e uso seguro de instalações e equipamentos elétricos domésticos. Orientações sobre consumo consciente de energia, manutenção preventiva e noções de eficiência energética. Desenvolvimento de atividades práticas que aproximam teoria e prática, promovendo autonomia, segurança e responsabilidade no uso da eletricidade no dia a dia.",,"ENSINO MÉDIO","t",,"f","f","t","t","f","f"
"35889","M","DISCIPLINA","TE14251","ESCRITA CRIATIVA E OUTRAS CRIATIVAS ATIVIDADES","CODAP",,"45","3","25","20","0","45","0",,,,"Exploração de práticas de escrita criativa em múltiplos gêneros e formatos, com ênfase na experimentação, no desenvolvimento da imaginação e na construção da autoria. Estudo de técnicas narrativas, poéticas e performáticas aplicadas à produção textual e multimodal. Proposição de oficinas, jogos linguísticos e atividades interativas que estimulam a expressão artística, a autonomia criadora e a reflexão crítica sobre processos de criação.",,"ENSINO MÉDIO","t",,"f","f","t","t","f","f"
"35890","M","DISCIPLINA","TE15251","MEIO AMBIENTE E EDUCAÇÃO AMBIENTAL","CODAP",,"45","3","20","25","0","45","0",,,,"Estudo das interações entre sociedade e natureza, com ênfase nos desafios ambientais contemporâneos e nas práticas de sustentabilidade. Discussão de conceitos fundamentais de meio ambiente, ecologia e políticas públicas ambientais. Abordagem crítica da educação ambiental como instrumento de conscientização, transformação social e cidadania ecológica. Desenvolvimento de atividades pedagógicas e projetos que articulem teoria e prática, estimulando a reflexão sobre consumo, preservação dos recursos naturais e justiça socioambiental.",,"ENSINO MÉDIO","t",,"f","f","t","t","f","f"
"35891","M","DISCIPLINA","TE16251","GEOMETRIA ESPACIAL","CODAP",,"45","3","25","20","0","45","0",,,,"Estudo das figuras geométricas no espaço tridimensional: pontos, retas e planos. Poliedros convexos, prismas, pirâmides, cilindros, cones e esferas. Relações métricas, áreas e volumes. Aplicações da geometria espacial na resolução de problemas matemáticos e em contextos práticos.",,"ENSINO MÉDIO","t",,"f","f","t","t","f","f"
"35892","M","DISCIPLINA","TE17251","INTERPRETAÇÃO E PRODUÇÃO TEXTUAL","CODAP",,"45","3","25","20","0","45","0",,,,"Estudo e prática da leitura crítica e da produção de textos em diferentes gêneros discursivos. Estratégias de compreensão e interpretação textual. Coesão e coerência. Argumentação, autoria e adequação comunicativa. Produção escrita orientada em contextos acadêmicos, profissionais e sociais.",,"ENSINO MÉDIO","t",,"f","f","t","t","f","f"
"35893","M","DISCIPLINA","TE18251","FUNDAMENTO DA METODOLOGIA CIENTÍFICA","CODAP",,"45","3","25","20","0","45","0",,,,"Conceitos básicos de ciência, conhecimento e pesquisa. Natureza e tipos de pesquisa científica. Estrutura e normas técnicas para trabalhos acadêmicos. Métodos e técnicas de investigação científica. Elaboração de projetos, artigos e relatórios acadêmicos. Ética na pesquisa.",,"ENSINO MÉDIO","t",,"f","f","t","t","f","f"
"36253","M","DISCIPLINA","TE18252","FUNDAMENTOS DE METODOLOGIA CIENTÍFICA","CODAP",,"45","3","20","25","0","45","0",,,,"A disciplina explora o processo de construção do conhecimento científico, diferenciando-o do senso comum. Abrange desde a fundamentação teórica e os métodos de investigação até a estruturação técnica de trabalhos acadêmicos conforme as normas vigentes.",,"ENSINO MÉDIO","t",,"f","f","f","f","f","f"
"35894","M","DISCIPLINA","TE19251","COMCIÊNCIA ALIMENTAR","CODAP",,"45","3","25","20","0","45","0",,,,"Estudo dos princípios da alimentação saudável e sustentável. Relação entre cultura, sociedade e hábitos alimentares. Impactos do consumo alimentar na saúde individual e coletiva. Rotulagem, segurança alimentar e escolhas conscientes. Alimentação e meio ambiente: desperdício, sustentabilidade e responsabilidade social.",,"ENSINO MÉDIO","t",,"f","f","t","t","f","f"
"36263","M","DISCIPLINA","TE20210","EDUCAÇÃO AMBIENTAL: ÁGUA, SAÚDE E QUALIDADE DE VIDA","CODAP",,"45","3","20","25","0","45","0",,,,"A disciplina propõe uma reflexão sobre a essencialidade da água para a manutenção da vida e das civilizações. O curso aborda desde o ciclo hidrológico até as políticas de saneamento básico, relacionando o acesso à água potável com a prevenção de doenças e a promoção da qualidade de vida em ambientes urbanos e rurais.",,"ENSINO MÉDIO","t",,"f","f","f","f","f","f"
